company,website,city_hub,segment,what_they_make,e1_producer,e2_accessible,revenue_estimate_inr_cr,revenue_basis,c3_differentiation,c4_decision_maker,c5_growing_sector,c6_growth_signals,c7_systems_maturity,c8_leadership_succession,federer_score,band,growth_signals_observed,systems_evidence,decision_maker_or_succession_notes,personalization_hook,source_urls,caveats_next_verification
Divgi TorqTransfer Systems Ltd,https://divgi-tts.com/,Pune / Bhosari,Precision auto components & engineering,"Torque transfer systems, transfer cases, dual-clutch transmission modules and EV transmission solutions for OEMs.",PASS,PASS,219,FY25 annual revenue about Rs 219Cr; TTM about Rs 303Cr.,20,7.5,15,15,20,15,92.5,A - Strong Federer,TTM growth; EV drivetrain focus; current quarterly-results page; public-company governance.,"Listed company controls, OEM-quality drivetrain manufacturing, annual reports and structured investor reporting.",Professional board and specialist leadership depth; promoter/family legacy visible but operating roles are distributed.,Your Bhosari team sits at an unusually sharp intersection: legacy torque-transfer know-how and the EV transmission shift that most auto suppliers are still trying to interpret.,https://divgi-tts.com/quarterly-results/ | https://stockanalysis.com/quote/nse/DIVGIITTS/revenue/ | https://divgi-tts.com/wp-content/uploads/2025/08/DTTS_AnnualReport_Finalsubmission_signed_FY2024-25.pdf,Confirm latest FY26 annual revenue after final audited results; still below 500Cr on FY25 and TTM sources used here.
Kalyani Forge Ltd,https://kalyaniforge.com/,Pune,Precision auto components & engineering,"Forged and machined components for passenger vehicles, CVs, turbochargers, industrial and agro-engine applications.",PASS,PASS,237,FY25 sales about Rs 236.64Cr.,20,7.5,15,15,20,15,92.5,A - Strong Federer,Annual report references commissioning/expansion work; FY25 public filings; sector mix includes EV-agnostic and industrial portfolios.,"IATF 16949, ISO 9001 and OEM operating systems referenced in annual-report material; digital operations mentioned in FY24/FY25 materials.",Board/professional governance with Kalyani-family industrial depth; leadership beyond one founder.,"I noticed Kalyani Forge is deliberately pushing beyond conventional auto forgings into industrial and EV-agnostic components, which makes your operating cadence more complex than a normal forging shop.",https://kalyaniforge.com/investors/annual-reports/ | https://www.etmoney.com/stocks/kalyani-forge-ltd/financials/3644/ | https://kalyaniforge.com/wp-content/uploads/2025/01/Annual-Report-2024.pdf,Use the latest annual report for final FY25 system-language quotations before submission.
Simmonds Marshall Ltd,https://www.simmondsmarshall.com/,Pune / Chakan,Precision auto components & engineering,"Specialised automotive fasteners, bolts, studs and cold-forged components.",PASS,PASS,230,Quarterly FY26 run-rate roughly Rs 54-66Cr per quarter; FY25 operating revenue in mid-200Cr range.,20,7.5,15,15,20,15,92.5,A - Strong Federer,FY26 quarterly revenue growth; CARE rating coverage; current BSE/public filings.,"IATF 16949, ISO 9001, ISO 14001 and management-system references in BSE/CARE documents.",Listed governance with professional controls and board/KMP structure.,Your Chakan operation is not selling generic fasteners; the IATF-backed cold-forged product mix makes Simmonds Marshall a quiet process-discipline story inside the auto supply chain.,https://groww.in/stocks/simmonds-marshall-ltd/company-financial | https://www.careratings.com/upload/CompanyFiles/PR/202603120304_Simmonds_Marshall_Limited.pdf | https://bsmedia.business-standard.com/_media/bs/data/announcements/bse/30082025/97725d25-10d6-427e-b66b-c1a4ff034445.pdf,Pull audited FY25 annual report directly from BSE/NSE before final outreach.
Walchandnagar Industries Ltd,https://walchand.com/,Pune / Walchandnagar industrial belt,Precision engineering,"High-complexity equipment and components for nuclear, aerospace, missile, defence, gears and industrial products.",PASS,PASS,259,FY25 annual revenue about Rs 259Cr; TTM about Rs 235Cr.,20,15,15,7.5,20,15,92.5,A - Strong Federer,Q3 FY26 turnaround; defence/nuclear/aerospace tailwinds; current investor releases.,"ISO 9001:2015, ASME/IBR/API/AGMA-style quality systems, in-house NDT, CNC/precision infrastructure and listed-company controls.",Listed professional management and independent governance; not dependent on one promoter operator.,"Your Walchandnagar facility has the kind of mixed nuclear, aerospace and gear workload where execution rhythm is as strategic as engineering capability.",https://walchand.com/about-us/manufacturing-infrastructure/ | https://stockanalysis.com/quote/nse/WALCHANNAG/revenue/ | https://walchand.com/wp-content/uploads/2025/07/Walchannagard%20AR%202025%20Full%20PDF%20file%20R2.pdf,Operational hub is Pune district/near-Pune rather than central Pune; include justification in methodology.
Duroshox Pvt Ltd,https://duroshox.com/,Pune / Sanaswadi,Precision auto components & engineering,"Shock absorbers, damping systems, vibration isolation, motion-control and suspension assemblies for OEMs.",PASS,PASS,309,"Estimated annual revenue about USD 37M, about Rs 309Cr.",20,15,15,15,20,7.5,92.5,A - Strong Federer,Employee growth; global OEM customers; active 2025 technical articles; India-US hybrid manufacturing model.,"Lean manufacturing, CAD/FEA/CAE, prototyping, validation, ISO/TS references, quality systems and zero-PPM case evidence.",Leadership appears professional/founder-led; succession depth should be checked via MCA/LinkedIn.,"Your custom damping work for off-highway and industrial OEMs looks like a full-stack engineering operation, not a catalogue shock-absorber business.",https://duroshox.com/products/ | https://growjo.com/company/Duroshox_Private_Limited | https://duroshox.com/how-hybrid-manufacturing-and-full-stack-engineering-are-powering-high-quality-low-cost-production/,Revenue is third-party estimate; verify with MCA/Tofler before final scoring.
Nichrome India Ltd,https://www.nichrome.com/,Pune / Shirwal,Precision engineering,"Integrated packaging machines and automated packaging systems for food, pharma, personal-care, agrochemical and industrial applications.",PASS,PASS,125,"Tofler revenue band Rs 100-150Cr, FY25 basis.",20,15,15,7.5,10,15,82.5,A - Strong Federer,"Current website, exports to 50+ countries, 11,000+ installations, strong packaging automation tailwinds.",Manufacturing and solution design infrastructure; export network; system maturity inferred from global installations and machine lifecycle support.,Founder-generation and next-generation leadership visible: S.V. Joshi and Mrunal Joshi as CEO/Vice Chairperson.,Nichrome’s move from India’s first milk pouch machine to integrated packaging automation gives you a rare founder-led systems story to tell customers.,https://www.nichrome.com/about/ | https://www.tofler.in/nichrome-india-limited/company/U28113MH1960PLC011575 | https://economictimes.indiatimes.com/industry/cons-products/food/nichrome-india-eyes-20-per-cent-revenue-growth-for-next-5-years/articleshow/27748214.cms,"Factory is Shirwal, near Pune; include as Pune district/near-hub operations."
Electro Pneumatics & Hydraulics (India) Pvt Ltd,https://www.electropneumatics.com/,Pune / Chakan,Precision engineering,"Hydraulic presses, tube benders, servo-mechanical presses, hydroforming systems, fluid-power products and defence trawl assemblies.",PASS,PASS,140,Historical net sales around Rs 137Cr; current assets and credit coverage imply mid-sized scale.,20,15,15,15,20,7.5,92.5,A - Strong Federer,CARE coverage; 2026 defence order; revenue growth in FY24; multiple current job openings.,"Structured machine divisions, CARE-rated bank facilities, annual business planning in job postings, project planning and software/mechanical/hydraulic integration.","Promoter/professional leadership includes Ashley Rasquinha, Ingrid Rasquinha and Prashant Gadepalli.","Your Chakan business is balancing machine manufacturing, fluid-power components and defence assemblies, which is exactly where structured execution discipline compounds quickly.",https://www.thecompanycheck.com/company/electro-pneumatics-and-hydraulics-india-pvt-ltd/U28932PN1983PTC190794 | https://www.tofler.in/electro-pneumatics-and-hydraulics-india-pvt-ltd/company/U28932PN1983PTC190794 | https://www.careratings.com/upload/CompanyFiles/PR/202603120347_Electro_Pneumatics_And_Hydraulics_%28India%29_Private_Limited.pdf,Use latest CARE PDF for exact FY25/FY26 revenue if available.
Electronica HiTech Machine Tools Pvt Ltd,https://www.electronicahitech.com/,Pune,Precision engineering,"Metal cutting, metal forming, CNC, EDM, VMC and related machine-tool solutions.",PASS,PASS,90,"Tofler revenue band Rs 75-100Cr, FY25 basis.",10,7.5,15,15,10,15,72.5,B - Probable Federer,"FY24 revenue growth, FY25 filings, active products and IMTMA-style machine-tool tailwinds.",Formal MCA filings; industrial machine-tool production; moderate systems evidence through manufacturing scale and compliance.,Managing Director Sujit Natekar with directors Mugdha Kaskhediker and Shilpa Pophale.,Electronica HiTech’s Rs 75-100Cr machine-tool business has the exact complexity where production planning and after-sales feedback can become a strategic edge.,https://www.tofler.in/electronica-hitech-machine-tools-private-limited/company/U29210PN2011PTC139073 | https://www.thecompanycheck.com/company/electronica-hitech-machine-tools-private-limited/U29210PN2011PTC139073 | https://www.electronicahitech.net/,Some product lines include sourced/import machines; confirm manufacturing share during final qualification call.
Electronica Mechatronic Systems (India) Pvt Ltd,https://www.electronicaems.com/,Pune,Industrial sensors & instrumentation,"Optical encoders, metrology systems, coordinate measuring machines, height gauges and special-purpose inspection machines.",PASS,PASS,203,"Estimated annual revenue about USD 24.4M, about Rs 203Cr.",20,15,15,15,10,15,90,A - Strong Federer,FY24 revenue growth; 2025 filings; in-house R&D and defence/rail/medical manufacturing customers.,"Govt-approved R&D setup, in-house encoders/metrology manufacturing, structured inspection-machine capability.",Managing Director Radhika Madgulkar and director Mohan Madgulkar show leadership depth.,Your shift from indigenous encoders into CMMs and inspection SPMs shows a rare Pune instrumentation company building its own product ladder.,https://www.electronicaems.com/about-us | https://growjo.com/company/Electronica_Mechatronic_Systems_India_Pvt. | https://www.thecompanycheck.com/company/electronica-mechatronic-systems-india-private-limited/U31403MH1986PTC040814,Revenue is third-party estimate; verify exact band with MCA/Tofler.
Accurate Gauging & Instruments Pvt Ltd,https://www.accurategauging.com/,Pune,Industrial sensors & instrumentation,"3D coordinate measuring machines, measuring instruments, calibration, inspection and contract assembly.",PASS,PASS,125,"Tofler revenue band Rs 100-150Cr, FY25 basis.",20,7.5,15,15,10,7.5,75,B - Probable Federer,"FY24 revenue growth, FY25 filings, metrology tailwinds from quality-driven manufacturing.",Metrology/calibration services require structured quality processes; MCA filings and manufacturing scale support moderate systems maturity.,Leadership depth to be verified; not a solo-trader profile.,"Accurate Gauging looks like a metrology partner that helps manufacturers build discipline into quality itself, not just buy inspection equipment.",https://www.tofler.in/accurate-gauging-and-instruments-pvt-ltd/company/U33125MH1987PTC042232 | https://www.thecompanycheck.com/company/electronica-hitech-machine-tools-private-limited/U29210PN2011PTC139073,Confirm latest certification list and whether CMM assembly is fully in-house versus partner assembly.
Poona Forge Pvt Ltd,https://poonaforge.com/,Pune / Bhosari,Precision auto components & engineering,"Forged components for automotive, engineering and agricultural applications.",PASS,PASS,175,"Tofler revenue band Rs 150-200Cr, FY25 basis.",10,7.5,15,7.5,10,15,65,B - Probable Federer,FY25 filings; 10% revenue growth; Bhosari manufacturing presence.,"Formal filings, manufacturing scale and forged-component process controls; ERP evidence not yet explicit.","Javalekar family leadership spans Anil, Sanjevani and Chinmay Javalekar.","Poona Forge’s Bhosari forged-component base has enough product variety across auto, engineering and agro to make execution visibility a real lever.",https://www.tofler.in/poona-forge-pvt-ltd/company/U28910MH1979PTC021262 | https://www.thecompanycheck.com/company/poona-forge-pvt-ltd/U28910MH1979PTC021262,Need direct website/certification capture before final founder outreach.
Polybond (India) Pvt Ltd,https://polybond.co.in/,Pune,Precision auto components & engineering,Rubber parts and rubber-to-metal bonded parts for automotive and industrial applications.,PASS,PASS,175,"Tofler revenue band Rs 100-500Cr, FY24 basis; row normalized to mid-band.",10,7.5,15,15,10,7.5,65,B - Probable Federer,FY24 EBITDA and net-worth growth; auto/industrial rubber tailwinds.,Manufacturing scale and process-intensive rubber bonding; explicit ERP evidence not yet found.,Rathi-family leadership visible; succession depth needs LinkedIn/MCA confirmation.,"Rubber-to-metal bonding is a process business where tiny quality deviations travel straight into OEM pain, so Polybond’s execution system is part of the product.",https://www.tofler.in/polybond-india-pvt-ltd/company/U25199MH1983PTC030558,Revenue band is broad; confirm exact sales and certifications.
Dyna-K Automotive Stampings Pvt Ltd,http://www.dynakstamp.com/,Pune / Bhosari,Precision auto components & engineering,"Brake components, welded assemblies and turbocharger-related components/services.",PASS,PASS,125,"Tofler revenue band Rs 100-150Cr, FY24 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,FY24 revenue and EBITDA growth; active filings; Bhosari plant.,Auto-component manufacturing and welding process controls; explicit ERP/system proof not yet public.,Leadership depth to verify; active private-company governance.,"Dyna-K’s mix of brake components, welded assemblies and turbocharger work suggests a plant where scheduling and quality discipline decide the margin.",https://www.tofler.in/dyna-k-automotive-stampings-private-limited/company/U28910PN1985PTC038409,"Because bulk stamping can be commodity, verify proportion of precision/turbocharger work before final inclusion."
Solidus Hi-Tech Product Pvt Ltd,https://www.solidushitech.com/,Pune / Bhosari,Precision auto components & engineering,"Automotive sheet-metal components, busbars, industrial enclosures, storage systems and related fabrication products.",PASS,PASS,175,"Tofler revenue band Rs 100-500Cr, FY24 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,"FY24 revenue, EBITDA and asset growth; busbars benefit from electrification tailwinds.",Sheet-metal fabrication and busbar manufacturing at scale; explicit ERP evidence to verify.,Musale-family leadership visible across directors.,Your busbar and enclosure work places Solidus closer to electrification infrastructure than a normal sheet-metal fabricator.,https://www.tofler.in/solidus-hi-tech-product-private-limited/company/U31200PN2004PTC019656,"Check customer concentration and whether automotive/busbar revenue is the core, not only storage/consumer products."
Kinetic Communications Ltd,https://kcl.kineticindia.com/,Pune / Chinchwad,Precision auto components & engineering,"EV motor controller units, power and driver board assemblies, telecom/electronics assemblies and controller box assemblies.",PASS,PASS,125,"Tofler revenue band Rs 100-150Cr, FY25 basis.",20,15,15,15,20,15,100,A - Strong Federer,"Fully automated EV controller line inaugurated July 2025; 180,000-unit annual output; FY25 revenue band.","SMT lines, 100% verification, PLC/HMI-controlled line, software flashing, IP67 leak testing and functional validation.",Firodia next-generation leadership and director Deepak Shikarpur visible in launch sources.,Your new automated MCU line in Chinchwad is an ideal example of a mid-sized company turning EV electronics into an operating-system challenge.,https://www.theweek.in/wire-updates/business/2025/07/01/dcm82-biz-kinetic-communications.html | https://www.tofler.in/kinetic-communications-limited/company/U74999MH1995PTC089588 | https://auto.economictimes.indiatimes.com/amp/news/auto-components/kinetic-communications-inaugurates-automated-ev-component-manufacturing-line-in-pune/122181243,Confirm whether KCL is majority held within the promoter group and not externally controlled.
Kinetic Engineering Ltd,https://kineticindia.com/,Pune / Chinchwad decision hub with Ahilyanagar plant,Precision auto components & engineering,"Automotive components, gears, shafts, chassis lines and EV-related component/battery initiatives.",PASS,PASS,142,FY25 operating income about Rs 142Cr; TTM about Rs 151Cr.,10,15,15,15,20,15,90,A - Strong Federer,"EV battery plant, automated/robotic chassis line, promoter infusion and revenue target communications.","IoT-enabled battery facility, automated assembly lines, stage-wise inspections and listed-company controls.",Arun Firodia and Ajinkya Firodia indicate clear generational succession depth.,"Kinetic’s shift from legacy auto components into EV batteries, controllers and robotic chassis manufacturing creates exactly the cross-functional execution load founders struggle to see in dashboards.",https://stockanalysis.com/quote/bom/500240/revenue/ | https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KineticEngineeringLimited_August%2019_%202025_RR_376367.html | https://www.autocarpro.in/news/kinetic-group-to-manufacture-ev-batteries-at-new-ahmednagar-facility-125053,"Manufacturing plant is Ahilyanagar, while Pune/Chinchwad is the decision hub; keep only if DeepThought accepts city-hub logic."
CEM Electromech Pvt Ltd,,Pune,Industrial sensors & instrumentation / precision electronics,Electrical and electromechanical components for industrial applications.,PASS,PASS,125,"Tofler revenue band Rs 100-150Cr, FY25 basis.",10,7.5,15,7.5,10,15,65,B - Probable Federer,FY25 filings; FY24/FY25 manufacturing scale; electrical components benefit from industrial electrification.,Manufacturing scale and MCA compliance; detailed ERP/process evidence not public.,"Three-director leadership with Sunil Gupta, Salonee Gupta and Narayanan P. Iyer.",CEM Electromech’s Rs 100-150Cr electrical-component scale looks like the point where founder memory stops being enough and operating data starts mattering.,https://www.tofler.in/cem-electromech-private-limited/company/U31900PN2011PTC140308,Needs official website/product-depth verification; include as B-probable rather than A.
Takshi Auto Components Pvt Ltd,,Pune,Precision auto components & engineering,Automotive components including axle assemblies and flange accessories.,PASS,PASS,350,"Tofler revenue band Rs 300-400Cr, FY25 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,Revenue and EBITDA growth; active filings; large auto-component scale.,Auto-component manufacturing at Rs 300-400Cr scale implies formal quality/process systems; explicit ERP evidence still required.,Director/professional depth to be checked.,"Takshi’s axle and flange assembly business is the kind of supplier operation where dispatch discipline, quality loops and working-capital visibility all collide.",https://www.tofler.in/takshi-auto-components-private-limited/company/U34300PN2003PTC017771,Need official website and certification evidence before final outreach.
Chasys Automotive Components Pvt Ltd,,Pune,Precision auto components & engineering,"Automotive components including auto parts, gas kits and rubber parts.",PASS,PASS,175,"Tofler revenue band Rs 150-200Cr, FY25 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,20% revenue growth and major EBITDA improvement in FY24/FY25 source data.,Mid-sized auto-component production; explicit ERP/IATF proof not yet located.,Leadership depth to verify.,"Chasys looks to be in the uncomfortable but valuable zone: enough auto-component volume to need process discipline, but still small enough for the founder team to change it quickly.",https://www.tofler.in/chasys-automotive-components-private-limited/company/U29197PN2009PTC135208,Check if products are differentiated enough; may be B-minus if commodity mix dominates.
Accu-Sharp Cutting Tools Pvt Ltd,,Pune,Precision engineering,Industrial cutting tools and precision tooling for machining applications.,PASS,PASS,60,"Tofler revenue band Rs 50-75Cr, FY25 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,FY25 revenue band; revenue growth; cutting-tool demand from machining and Make-in-India capex.,Precision tooling production requires measured quality controls; ERP evidence not yet public.,Leadership depth to verify.,"Cutting tools are small parts with outsized uptime impact, so Accu-Sharp’s operating discipline can become visible in every customer’s machining cell.",https://www.tofler.in/accu-sharp-cutting-tools-private-limited/company/U28990PN2011PTC140118,Need official product/certification confirmation; treat as B-probable.
Sawalka Tools and Machines Pvt Ltd,,Pune / Chakan,Precision auto components & engineering,"U-bolts, radius rods, torsion bars, stabilizer bars, tie bars and related automotive suspension components.",PASS,PASS,60,"Tofler revenue band Rs 50-75Cr, FY25 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,Revenue growth; Chakan location; auto suspension component tailwinds.,Auto suspension tooling/components require QA/process discipline; explicit ERP evidence not yet located.,Multiple directors indicate leadership depth.,"Sawalka’s torsion-bar and stabilizer-bar work sits close to vehicle ride-quality outcomes, which makes shop-floor repeatability a sales argument.",https://www.tofler.in/sawalka-tools-and-machines-private-limited/company/U99999MH1985PTC070692,Need direct website/customer/certification proof.
Pentagon Assembly Automation Pvt Ltd,https://www.pentagonassemblyautomation.com/,Pune,Precision engineering,"Assembly automation, special-purpose machines and production-line automation systems.",PASS,PASS,60,"Tofler revenue band Rs 50-75Cr, FY23/FY25 source basis.",20,7.5,15,15,10,7.5,75,B - Probable Federer,Automation sector tailwinds; high custom-project nature; active private-company filings.,"Automation builders require project planning, controls engineering and commissioning systems; explicit ERP evidence not yet public.",Leadership depth to verify from LinkedIn/MCA.,"Pentagon is building the systems other manufacturers use to run better, which makes your own internal execution system especially interesting.",https://www.tofler.in/pentagon-assembly-automation-private-limited/company/U29299PN2006PTC128866,Need latest FY25 filing and customer examples before final outreach.
Labindia Instruments Pvt Ltd,https://www.labindia.com/,Pune,Industrial sensors & instrumentation,"Analytical, laboratory and process instruments with sales, service and instrumentation expertise.",PASS - specialized instrumentation/service; manufacturing share to verify,PASS,175,"Tofler revenue band Rs 150-200Cr, FY25 basis.",10,7.5,15,15,10,7.5,65,B - Probable Federer,"Revenue and EBITDA growth; lab/instrumentation tailwinds in pharma, biotech and QA.",Instrumentation service network and regulated-lab customer base suggest structured support systems; ERP evidence not public.,Four-director leadership; professional depth visible.,"Labindia’s instrument business likely sees customer process pain every day, which is a useful entry point for talking about internal execution data.",https://www.tofler.in/labindia-instruments-pvt-ltd/company/U33125MH1982PTC027977 | https://www.labindia.com/,"Must verify E1 carefully: if primarily distributor/service partner, move to fail list."
Fluid Controls Ltd,https://fluidcontrols.com/,Pune / Chakan,Industrial sensors & instrumentation,"Instrumentation fittings, valves, manifolds, pre-fabricated instrument hook-ups, high-pressure needle valves and rail/nuclear/oil-and-gas flow-control hardware.",PASS,PASS,175,"Tofler revenue band Rs 150-200Cr, FY25 basis; Growjo estimate about USD 24.4M.",20,15,15,15,20,15,100,A - Strong Federer,Employee growth; DSIR-recognized R&D; rail/nuclear/oil-and-gas approvals; active 2026 company overview.,"DSIR in-house R&D, ISO 9001/14001/OHSAS, PED, ASTM, API fire-safe, cryogenic/fugitive-emission and ABS PDA certifications.",Founder Dr Y.E. Moochhala plus BU heads and professional managers visible.,"Your Chakan R&D-and-manufacturing setup for rail, nuclear and oil-and-gas instrumentation hardware is exactly the kind of technical operation where process visibility wins trust.",https://www.tofler.in/fluid-controls-pvt-ltd/company/U29120PN1981PLC232367 | https://growjo.com/company/Fluid_Controls_Private_Limited | https://fluidcontrols.com/wp-content/uploads/2026/02/Company-overview-new-2026.pdf,"Head office is Mumbai but manufacturing/R&D is in Chakan, Pune; document this explicitly."
Minilec Protective Relay Pvt Ltd / Minilec Group,https://minilecgroup.com/,Pune / Pirangut,Industrial sensors & instrumentation,"Motor and pump protection relays, phase-failure relays, alarm annunciators, event-monitoring systems and industrial protection/control electronics.",PASS,PASS,55,"Revenue not directly public for manufacturing entity; employee base, charges and group scale indicate probable Rs 50Cr+; verify MCA.",20,15,15,7.5,10,7.5,75,B - Probable Federer,Exports to 40-45+ countries; 2025 filings; 60+ years operations; new product launches.,"In-house design/development, high-tech testing lab, IEC/CE compliance testing, 40,000 sq ft manufacturing plant.",Technocrat founder Yashavant Ghaisas and multiple directors; succession depth needs verification.,Minilec’s home-grown protection relay line has the feel of an Indian product company that had to build both engineering discipline and channel discipline over decades.,https://minilecgroup.com/about-us/ | https://www.engnetglobal.com/c/f.aspx/MIN022 | https://www.thecompanycheck.com/company/minilec-protective-relay-pvt-ltd/U31909PN1985PTC036283,Revenue is the weakest evidence point in the final 25; replace with Krohne/WIKA only if DeepThought permits MNC/JV subsidiaries.
